code,name,category,Annual,nYear,Price,52w low,52w high,NTA,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
1007,AMCORP PROPERTIES BERHAD,Property,2019-03-01,10,0.345,0.26,0.58,1.45,12.0,2.92,8.46,3.0,8.7,2.01,2.49,0.27,0.36,45.05,2.56,41.75,22.16,10.44,0.0,-32.4,-34.29,-4.16,19.26,12.89,11.55,19.26,2.68,5.13,3.75,2.68,32.84,1,0,0,2+4+6+7+9+10,+,1+3+5+7+10,+,241,147,0.07,0.04,20,-25
9695,PLS PLANTATIONS BERHAD,Plantation,2019-03-01,10,0.555,0.35,0.99,0.551,-22.0,-2.5,-4.5,0.0,0.0,-4.54,-5.26,0.39,0.43,-1.64,-98.0,61.5,-18.25,5.95,0.0,0.0,0.0,0.0,0.39,-1.87,-2.1,0.39,0.0,0.0,0.0,0.0,0.0,0,0,0,1+4+5+7+10,1+2+3+4+5,1+2+3+4+5+7+9+10,7,63,63,0.04,-0.05,31,8
9059,TSH RESOURCES BERHAD,Plantation,2018-12-01,10,0.71,0.56,1.59,1.0426,22.0,3.19,4.49,1.0,1.41,3.06,2.84,0.53,0.58,6.99,-23.25,51.33,14.04,24.48,0.0,0.0,-24.27,-4.9,3.2,3.81,2.45,3.2,1.21,1.51,1.43,1.21,51.2,0,0,0,1+4+7+9+10,4,1+3+4+5+7+10,4,980,906,0.06,0.03,135,173
8982,CEPATWAWASAN GROUP BERHAD,Plantation,2018-12-01,10,0.41,0.285,0.74,1.11,297.0,0.14,0.34,1.5,3.66,0.13,1.26,0.16,0.15,9.16,6.71,36.0,21.36,16.24,0.0,-18.52,-25.43,-17.89,8.2,8.55,7.74,8.2,2.15,1.93,2.17,2.15,30.61,1,0,1,1+4+6+7+10,+,1+4+5+7+9+10,+,164,241,0.05,0.02,23,19
7501,HARN LEN CORPORATION BHD,Plantation,2018-12-01,10,0.395,0.29,0.7,1.46,-2.0,-16.2,-41.01,0.0,0.0,-11.1,-6.93,0.32,0.28,6.0,-15.5,100.0,42.25,14.72,0.0,0.0,0.0,0.0,6.24,-6.11,-5.21,6.24,1.22,0.0,1.75,1.22,0.65,0,0,1,1+4+10,1+3+4+7,1+2+3+4+5+6+7+10,,103,186,0.03,-0.12,13,60
7382,GOLDEN LAND BERHAD,Plantation,2019-06-01,10,0.35,0.3,0.52,1.96,-3.0,-11.49,-32.83,0.0,0.0,-5.86,-4.55,0.12,0.03,48.64,-7.67,102.0,47.16,28.41,0.0,0.0,0.0,0.0,5.99,-11.3,4.81,5.99,1.22,0.72,0.56,1.22,17.09,0,0,0,3+4+5+7,1+2,1+2+3+4+5+7+8+10,1+2+3+4+7+8,229,12,0.04,-0.09,23,-68
7054,ASTRAL ASIA BERHAD,Plantation,2018-12-01,9,0.11,0.05,0.235,0.2834,-8.0,-1.45,-13.18,0.0,0.0,-5.12,-2.6,0.06,0.06,-1.8,-22.0,132.0,55.0,64.7,0.0,0.0,0.0,0.0,-0.83,-1.8,-1.99,0.0,0.1,0.0,0.0,0.0,29.41,0,0,0,1+4+5+6+7+9,1+2+3+4+9,1+2+3+4+5+6+7+9,1+5,36,26,0.01,-0.01,10,-3
6572,KWANTAS CORPORATION BERHAD,Plantation,2019-06-01,10,0.54,0.46,0.9,3.5807,-2.0,-23.06,-42.7,0.0,0.0,-6.44,-7.96,0.01,0.02,-1.51,-16.5,176.0,79.75,18.97,0.0,0.0,0.0,0.0,-6.12,-18.51,-14.83,-6.12,1.48,0.0,0.57,1.48,23.13,0,0,0,2+4+5+6+10,1+2+4+5+6,1+2+3+4+5+6+8+9+10,1+5,1248,774,0.01,-0.3,193,-36
6262,INNOPRISE PLANTATIONS BERHAD,Plantation,2018-12-01,10,0.6,0.4,0.995,0.66,21.0,2.85,4.75,1.0,1.67,4.32,2.92,0.01,0.0,20.09,10.17,155.0,82.58,69.66,19.89,-26.96,19.89,-12.34,3.26,5.97,4.78,3.26,0.97,3.23,1.94,0.97,10.97,1,0,0,1+8+9+10,+,1+6+8+9+10,+,28,114,0.06,0.02,19,35
5285,SIME DARBY PLANTATION BERHAD,Plantation,2019-12-01,5,4.61,3.82,5.63,1.93,361.0,1.28,0.28,1.0,0.22,0.66,-1.3,0.35,0.35,10.39,-181.67,42.86,-69.4,-22.05,0.0,0.0,0.0,0.0,4.25,4.89,0.0,0.0,0.3,0.4,0.0,0.0,5.72,0,0,1,1+2+5,1,1+2+4+5,,10286,12046,0.15,-0.03,1973,1745
5254,BOUSTEAD PLANTATIONS BERHAD,Plantation,2018-12-01,8,0.3,0.2,0.79,1.14,-5.0,-6.43,-21.43,7.0,23.33,-5.64,-1.97,0.24,0.14,24.9,-38.25,49.67,5.71,9.8,0.0,0.0,0.0,0.0,10.18,13.59,9.04,0.0,6.43,10.38,7.71,0.0,148.36,0,0,0,1+4+6+7+8,1,1+5+7+8,1+2+3+4+5+6+7+8,949,584,0.12,-0.02,0,0
5222,FGV HOLDINGS BERHAD,Plantation,2019-12-01,10,0.92,0.715,1.59,1.15,-14.0,-6.64,-7.22,0.0,0.0,-5.77,-5.69,1.43,1.43,2.97,-21.71,56.33,17.31,14.08,0.0,0.0,0.0,0.0,-3.09,-14.46,-8.09,0.0,2.51,1.18,1.67,0.0,0.0,0,0,0,1+2+3+5+7,1+2,1+2+4+5+6+7,5+10,3150,13214,0.26,-0.07,-247,1975
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD,Plantation,2018-12-01,10,1.39,1.25,2.14,2.07,35.0,3.93,2.83,2.5,1.8,1.9,1.57,0.02,0.0,25.43,8.81,53.25,31.03,20.04,0.0,-32.92,-21.47,0.0,6.25,5.56,5.62,6.25,4.4,4.79,4.42,4.4,61.89,1,0,1,1+4+6+7+10,+,1+4+6+7+10,+,373,391,0.13,0.04,133,102
5135,SARAWAK PLANTATION BERHAD,Plantation,2018-12-01,10,1.45,1.3,2.11,1.98,19.0,7.47,5.15,5.0,3.45,3.77,1.9,0.14,0.18,9.11,9.31,85.0,47.16,27.16,0.0,-19.33,-22.38,-14.21,5.62,2.51,4.44,5.62,3.14,1.53,2.19,3.14,48.5,0,0,1,1+4+6+7+10,2,1+2+4+6+7+9+10,,296,310,0.14,0.04,53,33
5126,SARAWAK OIL PALMS BERHAD,Plantation,2018-12-01,10,2.48,1.9,4.22,3.86,16.0,15.73,6.34,5.0,2.02,4.08,2.95,0.38,0.35,9.36,5.12,37.27,21.2,17.38,0.0,-16.68,-10.97,-10.7,7.47,9.79,8.05,7.47,1.21,1.71,1.52,1.21,18.25,1,0,0,1+10,+,1+4+6+7+10,+,533,3604,0.22,0.11,168,378
5113,RIMBUNAN SAWIT BERHAD,Plantation,2018-12-01,10,0.255,0.115,0.465,0.27,-7.0,-3.68,-14.43,0.0,0.0,-13.63,-24.22,0.58,0.51,-8.29,-16.83,78.5,30.84,9.52,0.0,0.0,0.0,0.0,-6.16,-20.93,-13.74,-6.16,0.52,0.0,0.0,0.52,14.42,0,0,0,4+5+6+7+8+9+10,1+2+3+4,1+2+3+4+6+7+8+9+10,1+10,212,338,0.0,-0.07,0,0
5112,TH PLANTATIONS BERHAD,Plantation,2018-12-01,10,0.305,0.185,0.685,0.64,-1.0,-25.63,-84.03,0.0,0.0,-40.05,-54.81,1.81,1.51,6.64,-0.97,24.29,11.66,14.22,0.0,0.0,0.0,0.0,-3.54,-27.28,-14.24,-3.54,4.21,6.04,4.68,4.21,35.55,0,0,0,1+4+7+10,1,1+2+5+6+7+10,4+7,304,519,0.09,-0.67,7,42
5069,BLD PLANTATION BHD.,Plantation,2017-12-01,10,5.2,5.0,6.78,5.99,-66.0,-7.91,-1.52,0.0,0.0,-1.32,4.88,0.19,0.09,3.79,-115.57,31.42,-42.08,5.2,6.69,6.69,-16.1,-0.2,6.47,1.86,2.92,6.47,0.97,0.45,0.51,0.97,0.0,0,0,0,3+4+5+9+10,3,2+3+4+5+6+9+10,1+3+5+9,518,2134,0.75,0.22,39,-9
5047,NPC RESOURCES BERHAD,Plantation,2018-12-01,10,1.9,1.68,2.0,4.37,-19.0,-9.99,-5.26,0.0,0.0,-2.29,-14.41,0.02,0.0,4.7,-270.0,22.5,-123.75,-21.46,0.0,0.0,0.0,0.0,5.3,3.27,1.98,5.3,1.09,0.53,0.56,1.09,9.16,0,0,1,1+2+3+4+7+10,1+4,1+2+3+4+7+8+10,,315,228,0.27,-0.41,38,12
5029,FAR EAST HOLDINGS BERHAD,Plantation,2018-12-01,10,2.3,2.0,2.79,1.95,17.0,13.49,5.87,2.5,1.09,6.92,5.34,0.01,0.0,21.79,14.74,68.33,41.54,46.17,2.19,4.89,2.19,-5.07,2.75,4.69,3.53,2.75,1.08,1.66,1.32,1.08,39.89,1,0,1,1+4+5+6+7+10,+,1+4+6+7+10,+,352,379,0.12,0.14,64,72
5027,KIM LOONG RESOURCES BERHAD,Plantation,2019-01-01,10,1.1,0.895,1.64,0.77,25.0,4.36,3.96,6.0,5.45,5.66,7.69,0.0,0.01,9.41,12.5,52.25,32.38,36.04,0.0,-10.96,-3.28,-2.49,3.35,4.89,3.93,3.35,2.1,3.51,2.67,2.1,51.6,1,0,0,1+4+7+10,+,1+3+4+7+10,+,452,873,0.05,0.06,0,0
5026,MHC PLANTATIONS BHD,Plantation,2018-12-01,10,0.415,0.27,0.77,1.26,33.0,1.28,3.08,0.0,0.0,1.02,1.31,0.25,0.26,35.6,6.75,45.75,26.25,19.35,13.08,13.08,-14.4,-14.85,7.54,6.06,5.41,7.54,2.43,1.77,1.95,2.43,41.49,1,0,1,1+4+7+10,+,1+4+6+7+9+10,+,23,343,0.1,0.02,7,31
5012,TA ANN HOLDINGS BERHAD,Plantation,2018-12-01,10,2.15,1.81,3.56,3.21,18.0,12.18,5.67,10.0,4.65,3.79,5.54,0.22,0.24,11.54,8.33,32.08,20.2,17.77,6.52,-26.15,-3.93,6.52,6.67,7.01,7.45,6.67,2.36,3.01,3.34,2.36,34.51,1,0,1,1+6+7+10,+,1+2+3+7+10,+,667,967,0.17,0.17,72,152
4936,MALPAC HOLDINGS BERHAD,Plantation,2019-06-01,10,0.8,0.42,0.86,2.22,1396.0,0.06,0.08,0.0,0.0,0.03,-3.16,0.0,0.0,60.34,-32.0,163.0,65.5,16.23,0.0,0.0,0.0,0.0,-0.6,-5.55,-4.62,-0.6,1.27,4.22,2.53,1.27,0.0,0,0,0,1+2+3+4+5+6+7+8+10,1+2+3+4+5+7,1+2+3+4+5+6+7+8+10,1+2+3+4+5+6+7,10,0,0.11,-0.07,5,-3
4383,JAYA TIASA HOLDINGS BHD,Plantation,2019-06-01,10,0.505,0.27,1.12,1.25,-2.0,-21.36,-42.3,0.0,0.0,-17.09,-18.03,0.33,0.24,-0.58,-9.57,118.0,54.22,47.76,0.0,0.0,0.0,0.0,-4.59,-21.76,-11.61,-4.59,1.0,1.47,1.19,1.0,11.09,0,0,0,1+2+3+4+5+6+7+9+10,1+2,1+2+3+5+7+9+10,10,757,638,0.02,-0.27,0,67
4316,SIN HENG CHAN (MALAYA) BERHAD,Plantation,2018-12-01,9,0.28,0.205,0.42,0.44,12.0,2.32,8.29,0.0,0.0,5.27,-7.83,0.84,0.86,2.47,-44.5,30.0,-7.25,0.16,0.0,0.0,0.0,0.0,-0.19,-4.03,-5.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4+6+7+8+9,1+2+4+5,1+2+3+4+5+6+7,5+6+8,59,33,0.03,-0.05,5,6
3948,DUTALAND BERHAD,Plantation,2019-06-01,10,0.35,0.275,0.475,1.5,69.0,0.51,1.46,5.0,14.29,0.34,0.89,0.0,0.0,27.5,-45.0,46.0,0.5,11.06,0.0,0.0,-29.96,-17.76,11.77,32.08,21.67,11.77,0.0,0.0,0.0,0.0,0.0,0,0,0,2+4+5+7+8+9,4+7+8,1+2+3+4+5+6+7+8+9+10,2+4,121,27,0.01,0.01,9,30
2607,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,Plantation,2018-12-01,10,0.52,0.45,0.63,1.68,-30.0,-1.72,-3.31,1.06,2.04,-1.02,-1.75,0.0,0.0,-45.54,-85.0,83.0,-1.0,-27.58,0.0,0.0,0.0,0.0,-2.49,-3.56,-2.71,-2.49,0.72,0.98,1.16,0.72,0.0,0,0,0,1+4+6+7+8+10,1+2+3+4+5+6+8+9,1+2+3+4+5+6+7+8+9+10,2+4+5+6+7+8,18,16,0.0,-0.03,8,9
2593,UNITED MALACCA BERHAD,Plantation,2019-04-01,9,4.3,4.0,5.45,6.61,14.0,30.27,7.04,8.0,1.86,4.58,-2.61,0.04,0.05,24.25,-28.21,50.83,11.31,18.28,0.0,0.0,0.0,0.0,3.78,1.63,2.68,0.0,2.92,2.34,2.54,0.0,142.44,0,0,0,1+4+5+7,1,1+2+5+7+9,8,206,204,0.4,-0.19,85,14
2569,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,Plantation,2019-06-01,10,2.51,2.35,3.15,8.6827,46.0,5.5,2.19,2.0,0.8,0.63,-1.08,0.01,0.0,49.37,-98.33,39.0,-29.66,-0.62,0.0,0.0,0.0,0.0,3.32,-1.18,-0.4,3.32,0.67,0.66,0.66,0.67,11.35,0,0,0,1+4+5+7+8+10,1+3+4,1+2+3+4+5+8+10,1+4+5+6+7+10,10,12,0.21,-0.1,-15,-4
2542,RIVERVIEW RUBBER ESTATES BERHAD,Plantation,2018-12-01,10,2.7,2.25,3.07,4.1,58.0,4.66,1.73,3.0,1.11,1.14,1.91,0.0,0.0,43.28,11.07,37.1,24.08,21.56,0.0,-6.83,-13.85,-8.27,5.56,4.96,4.2,5.56,3.63,2.18,2.21,3.63,59.28,1,0,1,1+7+10,+,1+4+5+6+9+10,+,22,29,0.23,0.08,11,6
2453,KLUANG RUBBER COMPANY (MALAYA) BERHAD,Plantation,2019-06-01,10,3.18,2.62,3.65,10.2472,-755.0,-0.42,-0.13,6.0,1.89,-0.04,-1.8,0.0,0.0,63.12,-17.11,108.0,45.44,33.38,0.0,0.0,0.0,0.0,3.19,-0.67,0.38,3.19,0.34,0.29,0.3,0.34,8.38,0,0,0,1+5+7+8+10,1,1+3+4+5+6+8+10,1+4+5+7+10,6,23,0.14,-0.19,-3,-7
2445,KUALA LUMPUR KEPONG BERHAD,Plantation,2019-09-01,10,20.16,17.4,25.4,9.59,41.0,49.38,2.45,50.0,2.48,5.15,5.67,0.52,0.49,8.8,14.35,43.79,29.07,25.3,0.08,-27.07,-9.03,0.08,4.46,2.87,3.72,4.46,2.5,2.0,2.08,2.5,55.9,1,0,1,1+2+7+8,+,1+2+3+5+7+8,+,7491,15534,0.95,0.58,784,1155
2291,GENTING PLANTATIONS BERHAD,Plantation,2019-12-01,10,9.17,7.99,11.14,5.43,58.0,15.83,1.73,13.0,1.42,2.92,3.16,0.43,0.43,20.41,14.83,62.24,38.54,32.26,0.0,-28.21,-18.84,-6.04,3.73,2.48,2.7,3.73,0.94,1.29,1.0,0.94,32.1,1,0,1,5+8,+,1+2+3+5+7+8,+,989,2266,0.43,0.17,474,295
2216,IJM PLANTATIONS BERHAD,Plantation,2019-03-01,10,1.38,1.01,2.48,1.53,46.0,3.01,2.18,2.0,1.45,1.97,-2.46,0.57,0.49,14.72,-39.25,119.33,40.04,31.61,0.0,0.0,0.0,0.0,3.14,0.95,1.39,3.14,2.43,2.64,2.33,2.43,54.35,0,0,0,1+2+4+7+10,1,1+2+4+5+6+7+10,1+2+3+4+5+6+7+8+9+10,407,630,0.11,-0.04,0,0
2135,GOPENG BERHAD,Plantation,2018-12-01,10,0.685,0.53,0.72,1.07,62.0,1.1,1.61,2.5,3.65,1.03,0.72,0.0,0.0,36.76,-6.6,83.0,38.2,43.12,0.0,-35.35,-9.8,-20.66,1.24,1.99,1.7,1.24,3.83,3.71,2.87,3.83,126.92,0,0,0,1+4+5+6+7+9+10,9,1+3+5+7+8+9+10,1+3+4+5+8+9,13,7,0.14,0.01,5,-2
2089,UNITED PLANTATIONS BERHAD,Plantation,2019-12-01,10,25.56,22.243000000000002,26.111,12.68,19.0,136.57,5.34,135.0,5.28,10.77,11.05,0.0,0.0,27.16,5.42,17.94,11.68,10.73,0.07,-5.08,0.3,0.07,10.75,6.67,7.33,10.75,3.22,1.59,1.85,3.22,29.24,1,0,0,1+2+5+7+8,+,1+2+7+8+10,+,969,1173,1.27,1.36,0,0
2054,TDM BERHAD,Plantation,2018-12-01,10,0.22,0.11,0.445,0.44,-5.0,-4.73,-21.5,0.0,0.0,-10.75,-5.88,0.67,0.57,12.92,-10.5,79.5,34.5,29.84,0.0,0.0,0.0,0.0,5.57,9.69,7.56,5.57,1.63,1.53,1.5,1.63,49.6,0,0,0,1+4+6+7+10,1,1+3+6+7+10,1,337,405,0.04,-0.04,24,-14
2038,NEGRI SEMBILAN OIL PALMS BERHAD,Plantation,2018-12-01,10,2.52,2.11,3.65,7.77,-69.0,-3.66,-1.45,8.0,3.17,-0.47,-0.3,0.0,0.0,14.62,-66.33,95.0,14.34,18.65,0.0,0.0,0.0,0.0,39.24,120.98,72.64,39.24,3.22,1.45,1.62,3.22,50.33,0,0,0,1+3+4+6+7+10,1+5,1+4+5+7+10,1+4,79,62,0.34,-2.4,23,-1
1996,KRETAM HOLDINGS BERHAD,Plantation,2018-12-01,10,0.36,0.29,0.475,0.26,-1272.0,-0.03,-0.08,0.0,0.0,-0.12,-5.08,0.01,0.01,10.35,-21.75,187.0,82.62,71.96,0.0,0.0,0.0,0.0,0.24,-0.92,-0.55,0.24,0.58,1.43,0.86,0.58,7.09,0,0,1,1+3+4+10,1+4,1+2+3+4+5+6+7+8+10,,120,509,0.02,-0.02,37,38
1961,IOI CORPORATION BERHAD,Plantation,2019-06-01,10,3.99,3.41,4.82,1.48,38.0,10.42,2.61,8.0,2.01,7.04,6.85,0.47,0.48,14.8,9.46,406.0,207.73,61.72,0.2,0.2,-28.24,-4.58,5.16,5.21,3.63,5.16,2.64,2.03,2.43,2.64,84.66,1,0,1,1+2+5+6+7+8+10,+,1+5+8,+,12543,7383,0.3,0.1,2009,1213
1929,CHIN TECK PLANTATIONS BERHAD,Plantation,2019-08-01,10,5.77,4.8,7.15,7.47,17.0,33.55,5.81,20.0,3.47,4.49,4.69,0.0,0.0,34.07,9.72,40.63,25.18,20.94,21.84,21.84,-2.28,-3.6,5.78,7.15,5.61,5.78,3.23,2.53,2.33,3.23,61.8,1,0,1,1+5+7+8+10,+,1+4+5+7+8,+,111,122,0.51,0.35,37,28
1902,PINEHILL PACIFIC BERHAD,Plantation,2019-06-01,9,0.315,0.14,0.545,1.4,1.0,52.49,166.63,0.0,0.0,37.49,-37.79,0.0,0.0,-45.29,-14.33,13.67,-0.33,-1.67,0.0,0.0,0.0,0.0,-39.29,-78.58,-62.89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+4+5+7+8,1+2+3+4+5+6+7+9,1+2+3+4+5+6+7+8+9,1+2+7,50,1,0.03,-0.19,7,-3
1899,BATU KAWAN BERHAD,Plantation,2019-09-01,10,13.14,11.0,17.68,14.32,18.0,74.44,5.67,60.0,4.57,5.2,5.94,1.03,1.0,86.47,8.04,18.68,13.36,13.26,1.48,-23.32,-6.29,1.48,8.14,6.27,7.41,8.14,3.59,3.31,3.25,3.59,44.41,1,0,1,1+2+10,+,1+2+3+5+7+8,+,224,16046,1.34,0.92,38,1241
9954,RGT BERHAD,Industrial Products & Services,2019-06-01,10,0.17,0.085,0.2,0.1114,18.0,0.94,5.53,0.3,1.76,8.44,10.32,0.06,0.07,-77.43,-38.33,15.5,-11.42,-8.28,0.0,0.0,0.0,0.0,-13.08,-3.35,-12.42,-13.08,0.0,0.0,0.0,0.0,0.0,0,0,0,5+8+9+10,2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,3+4+5+6+8,9,95,-0.06,0.01,1,7
9938,BRIGHT PACKAGING INDUSTRY BERHAD,Industrial Products & Services,2019-08-01,10,0.195,0.095,0.56,0.57,27.0,0.71,3.64,0.0,0.0,1.25,1.66,0.0,0.0,2.79,-30.5,59.0,14.25,16.81,1.92,1.92,-7.12,-7.68,2.7,-0.88,0.09,2.7,0.0,0.0,0.0,0.0,0.0,0,0,0,3+6+7+10,2+3,1+2+3+5+6+10,2+7+10,44,68,0.01,0.01,-9,4
9881,LEADER STEEL HOLDINGS BERHAD,Industrial Products & Services,2018-12-01,10,0.235,0.185,0.36,1.19,3.0,7.29,31.02,0.0,0.0,6.13,3.51,0.0,0.0,0.21,-32.0,27.5,-2.25,1.4,23.66,0.0,42.45,23.66,-2.05,15.7,-4.2,-2.05,1.6,0.0,0.0,1.6,0.0,0,0,0,4+5+6+9+10,4+5+7+8,1+3+4+5+6+7+8+9+10,2+7+9+10,390,284,0.07,0.04,-5,5
9873,PRESTAR RESOURCES BERHAD,Industrial Products & Services,2018-12-01,10,0.345,0.21,0.59,1.46,13.0,2.7,7.83,1.5,4.35,1.85,4.51,0.07,0.03,2.28,2.36,23.5,12.93,9.45,1.77,1.77,-1.74,-0.11,14.82,22.87,18.02,14.82,3.79,6.15,4.98,3.79,27.28,1,0,0,1+4+8+10,+,1+4+7+10,+,460,508,0.02,0.06,36,0
9822,SAM ENGINEERING & EQUIPMENT (M) BERHAD,Industrial Products & Services,2019-03-01,10,5.35,4.2,8.64,4.21,8.0,64.62,12.08,29.05,5.43,15.35,15.75,0.09,0.05,7.61,5.59,19.31,12.45,12.0,7.26,7.26,22.64,0.0,9.35,6.75,7.28,9.35,1.66,1.94,2.22,1.66,24.36,1,0,0,3+5+7+10,+,3+7+8+9+10,+,303,755,0.37,0.58,44,33
9741,ROHAS TECNIC BERHAD,Industrial Products & Services,2018-12-01,10,0.41,0.17,0.79,0.69,11.0,3.66,8.93,0.5,1.22,5.3,5.07,0.01,0.02,7.03,0.24,68.0,34.12,14.08,0.0,-75.9,-37.83,-16.8,54.9,10.28,97.55,54.9,2.68,1.01,1.3,2.68,20.06,1,0,0,2+3+4+7+10,+,2+3+6+7+10,+,138,404,0.32,0.03,19,-22
9601,HO WAH GENTING BERHAD,Industrial Products & Services,2018-12-01,10,0.29,0.06,0.37,0.07,-21.0,-1.38,-4.76,0.0,0.0,-19.71,-84.07,0.18,0.2,-9.6,-6.0,3.78,-1.11,-1.1,0.0,0.0,0.0,0.0,-86.9,-78.39,-110.77,-86.9,0.0,0.0,0.0,0.0,0.0,0,0,0,3+4+5+6+7+10,1+2+3+4+5+6+7+8+10,1+2+3+4+5+6+7+8+9+10,1+3+6+7+8+9+10,144,160,-0.32,-0.11,-10,-8
9466,KKB ENGINEERING BERHAD,Industrial Products & Services,2019-12-01,10,1.72,1.25,2.37,1.31,9.0,18.74,10.9,4.0,2.33,14.31,14.99,0.0,0.0,11.41,-66.5,95.0,14.25,13.87,17.87,0.0,17.87,-8.55,6.79,7.04,5.15,6.79,4.04,1.66,2.08,4.04,44.43,0,0,0,4+5+6+8+9,4,2+3+4+6+8+9+10,1+3+9,269,559,0.3,0.18,104,-15
9342,ANZO HOLDINGS BERHAD,Industrial Products & Services,2019-07-01,9,0.035,0.01,0.045,0.161,-10.0,-0.36,-10.29,0.0,0.0,-2.24,-2.39,0.0,0.0,-40.46,-29.0,4.15,-12.42,-14.38,0.0,0.0,0.0,0.0,-4.64,-16.19,-11.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+4+5+8+9,1+2+3+4+5+6+7+9,1+2+3+4+5+6+7+8+9,2+3+4+5+6+7+8+9,9,6,0.27,0.0,-12,1
9326,LB ALUMINIUM BERHAD,Industrial Products & Services,2019-04-01,10,0.405,0.26,0.615,1.22,6.0,6.28,15.51,1.5,3.7,5.15,4.14,0.12,0.0,3.18,5.14,29.5,17.32,11.84,4.62,-8.18,-11.23,4.62,10.12,7.49,8.51,10.12,3.88,3.24,3.4,3.88,34.17,1,0,0,4+10,+,2+5+8+9+10,+,347,533,0.05,0.05,14,26
9318,FITTERS DIVERSIFIED BERHAD,Industrial Products & Services,2018-12-01,9,0.23,0.155,0.42200000000000004,0.8246,24.0,0.96,4.17,0.0,0.0,1.16,4.4,0.08,0.12,4.76,-40.5,20.25,-10.12,2.09,22.18,22.18,0.0,-10.15,6.34,1.88,4.59,0.0,1.47,0.82,2.64,0.0,10.37,0,0,0,2+3+5+7,2,1+2+3+4+5+6+7,1+4+5+8,190,351,0.0,0.03,12,-3
9237,SARAWAK CONSOLIDATED INDUSTRIES BERHAD,Industrial Products & Services,2018-12-01,7,2.02,0.655,3.49,0.6,57.0,3.52,1.74,0.0,0.0,5.87,-18.18,0.31,0.33,-2.07,-20.75,26.0,2.62,-1.8,0.0,0.0,0.0,0.0,-1.06,-0.65,-1.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3+6,1+3+4+7,1+2+4+5+6+7,1+2,65,76,0.02,-0.11,3,-2
9199,LYSAGHT GALVANIZED STEEL BERHAD,Industrial Products & Services,2018-12-01,10,2.09,1.95,2.7,3.71,9.0,22.07,10.56,7.0,3.35,5.95,6.35,0.0,0.0,17.59,5.81,13.96,9.88,9.86,0.0,-17.38,-9.42,-4.51,10.81,11.82,10.75,10.81,3.3,3.17,2.54,3.3,24.58,1,0,0,1+4+5+8+9+10,+,1+3+5+8+9+10,+,63,68,0.22,0.22,30,3
9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD,Industrial Products & Services,2018-12-01,9,1.9,1.68,2.4,1.53,-272.0,-0.7,-0.37,6.0,3.16,-0.46,3.49,0.0,0.0,8.29,11.75,45.6,28.68,20.73,0.0,-27.91,-18.01,-0.34,5.77,4.24,4.76,0.0,6.97,5.21,5.08,0.0,128.59,1,0,1,2+5+8,+,1+2+5,+,25,25,0.07,0.05,5,3
9121,KPS CONSORTIUM BERHAD,Industrial Products & Services,2018-12-01,10,0.395,0.265,0.54,1.83,9.0,4.39,11.11,0.0,0.0,2.4,3.94,0.12,0.13,2.48,-52.5,10.2,-21.15,-0.21,6.64,-29.97,-2.48,6.64,18.7,13.54,15.59,18.7,0.0,0.0,0.0,0.0,0.0,0,0,0,5+10,5,1+3+4+5+7+10,2+4+9,312,776,0.05,0.07,5,20
9083,KUMPULAN JETSON BERHAD,Industrial Products & Services,2018-12-01,9,0.13,0.05,0.18,0.3785,-5.0,-2.89,-22.23,0.0,0.0,-7.64,-10.41,0.22,0.24,-2.69,-40.75,33.0,-3.88,-2.55,0.0,0.0,0.0,0.0,-527.66,-1574.3,-946.99,0.0,0.09,0.0,0.0,0.0,0.0,0,0,0,2+3+5+7+8,1+2+3+5+6+7,1+2+3+4+5+6+7+8+9,2+5+7+8,192,194,0.04,-4.88,9,4
9016,EKSONS CORPORATION BERHAD,Industrial Products & Services,2019-03-01,10,0.53,0.385,0.795,2.68,-27.0,-1.96,-3.7,0.0,0.0,-0.73,-2.66,0.01,0.02,1.65,-37.0,11.33,-12.84,-2.66,0.0,0.0,0.0,0.0,6.39,-10.41,-1.01,6.39,2.26,2.08,1.25,2.26,12.96,0,0,0,1+3+4+6+7+10,1+2+3+4,1+2+3+4+7+9+10,1+6+7,279,67,0.17,-0.07,32,-3
