name,category,Annual,nMerge,nSplit,NTA,current_price,52w low,52w high,market cap,code,nYear,price,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,EPS,EPS avg,EPS std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std
RIVERVIEW RUBBER ESTATES BERHAD,Plantation,2018-12-31,0,0,4.09,2.75,2.65,3.1,178.3M,2542,10,3.1,2.46,5.92,2.8,5.5,2.95,-1.0,41.23,7.64,19.1,7.33,45.8,20.01,40.59,25.36,21.69,10.74,0.06,11.91,9.03,51.84,39.13,3.69,2.88
ALLIANCE BANK MALAYSIA BERHAD,Financial Services,2019-03-31,0,0,3.8,2.47,2.38,4.26,"3,823.8M",2488,10,4.09,8.49,7.97,0.57,11.51,1.7,6.53,12.73,34.7,32.1,4.9,35.31,4.41,11.78,13.2,12.62,0.97,16.7,15.07,5.98,45.58,13.2,3.65,1.18
UMS-NEIKEN GROUP BERHAD,Industrial Products & Services,2018-12-31,0,0,1.25,0.82,0.715,1.1,65.6M,7227,10,1.06,9.66,12.59,5.02,8.7,2.88,19.94,38.66,10.23,8.12,3.55,9.79,4.49,10.36,8.88,9.05,2.86,3.0,2.26,0.77,30.22,6.41,3.63,1.19
NTPM HOLDINGS BERHAD,Consumer Products & Services,2019-04-30,0,0,0.4,0.505,0.385,0.575,567.2M,5066,10,0.455,1.75,6.29,2.26,14.03,6.56,-11.76,27.21,0.8,3.98,1.28,8.81,3.76,57.02,33.91,19.85,12.92,1.6,2.18,0.74,67.78,48.15,3.61,1.52
CHIN TECK PLANTATIONS BERHAD,Plantation,2019-08-31,0,0,7.47,6.85,6.03,7.15,625.8M,1929,10,6.3,5.58,5.82,2.52,6.83,3.0,11.7,59.85,35.14,47.01,20.01,34.07,11.38,17.93,24.66,20.73,9.1,20.0,29.7,11.38,67.49,21.68,3.6,1.22
KARYON INDUSTRIES BERHAD,Industrial Products & Services,2019-03-31,0,0,0.21,0.17,0.115,0.2,80.9M,0054,10,0.13,7.12,11.25,6.14,9.73,3.52,3.85,42.23,0.93,1.86,0.69,5.33,1.66,14.05,17.48,12.47,7.65,0.3,0.61,0.42,34.97,21.24,3.54,2.29
AMMB HOLDINGS BERHAD,Financial Services,2019-03-31,0,0,6.02,3.83,3.66,4.64,"11,544.3M",1015,10,4.56,10.97,8.78,1.28,11.01,2.55,5.4,17.95,50.03,48.13,8.68,18.31,2.41,9.12,11.82,11.64,1.75,20.0,19.01,4.58,39.07,3.36,3.45,0.65
S P SETIA BERHAD,Property,2018-12-31,0,0,2.99,1.31,1.18,2.6,"5,295.7M",8664,9,2.33,7.32,6.5,2.93,9.65,1.95,-5.82,23.53,14.82,21.06,9.62,15.02,6.09,13.66,9.99,11.94,6.87,8.55,14.01,6.58,66.29,7.32,3.43,2.06
AJINOMOTO (MALAYSIA) BERHAD,Consumer Products & Services,2019-03-31,0,0,7.66,13.98,13.96,19.0,850.0M,2658,10,18.0,5.17,9.08,3.97,14.14,8.56,36.07,111.91,93.06,81.2,78.44,12.75,10.83,19.34,14.63,12.92,5.1,47.0,24.38,13.55,43.49,15.66,3.41,1.46
DUTCH LADY MILK INDUSTRIES BERHAD,Consumer Products & Services,2018-12-31,0,0,2.34,40.4,40.0,64.78,"2,585.6M",3026,10,62.0,3.26,4.88,1.57,72.31,30.09,10.36,24.28,202.3,178.29,45.08,12.2,1.99,30.65,23.01,22.42,6.37,0.0,117.06,104.78,66.84,51.34,3.38,2.33
MEGA FIRST CORPORATION BERHAD,Utilities,2018-12-31,0,0,3.55,5.41,3.28,5.59,"2,399.4M",3069,10,3.1,10.59,14.99,3.22,11.21,1.8,2.42,12.98,33.03,31.67,3.02,17.9,1.63,9.44,7.68,7.02,1.66,4.0,6.71,1.66,21.59,6.09,3.37,1.38
DATASONIC GROUP BERHAD,Technology,2019-03-31,0,0,0.2032,1.52,0.425,1.69,"2,052.0M",5216,7,0.515,5.25,6.55,4.85,27.35,8.91,-23.39,31.37,2.71,10.06,11.29,16.08,11.44,19.03,16.66,20.16,7.25,2.5,4.29,2.33,65.75,25.72,3.35,1.14
AFFIN BANK BERHAD,Financial Services,2018-12-31,0,0,4.69,1.83,1.81,2.34,"3,634.4M",5185,10,2.23,11.61,10.42,1.06,7.69,1.97,3.68,24.72,25.89,30.81,7.56,26.67,7.58,8.61,10.24,9.7,1.07,5.0,9.82,4.15,31.19,9.69,3.35,1.08
AEON CREDIT SERVICE (M) BERHAD,Financial Services,2019-02-28,0,0,6.04,13.22,12.66,17.36,"3,352.8M",5139,10,16.54,8.07,10.6,1.74,27.92,4.31,6.12,13.1,133.55,133.89,25.33,25.32,1.68,12.38,6.19,8.81,3.37,44.6,46.38,12.28,34.7,6.0,3.3,1.46
PRESTAR RESOURCES BERHAD,Industrial Products & Services,2018-12-31,0,0,1.44,0.41,0.375,0.785,84.0M,9873,10,0.52,12.39,13.41,4.47,6.26,3.68,23.62,51.22,6.42,7.77,5.68,3.12,1.52,8.07,14.16,9.05,5.3,1.5,1.86,1.15,27.57,12.96,3.28,1.0
CHOO BEE METAL INDUSTRIES BHD,Industrial Products & Services,2018-12-31,0,0,3.84,1.23,1.15,1.71,162.0M,5797,10,1.48,16.73,11.15,4.29,4.76,2.03,35.48,110.66,24.76,18.7,8.92,4.7,2.26,5.98,16.6,11.16,6.26,6.0,5.4,2.15,31.16,18.09,3.28,1.23
LYSAGHT GALVANIZED STEEL BERHAD,Industrial Products & Services,2018-12-31,0,0,3.67,2.46,2.38,2.8,102.3M,9199,10,2.5,8.95,11.27,2.07,10.92,2.21,4.5,29.75,22.37,29.43,8.13,17.61,3.91,11.18,9.14,9.16,1.57,7.0,8.01,4.67,27.97,17.45,3.26,2.25
PETRONAS GAS BERHAD,Utilities,2018-12-31,0,0,6.7146,16.2,14.0,18.5,"32,055.5M",6033,10,19.2,4.76,4.55,0.77,15.46,2.44,9.41,24.69,91.49,81.46,18.26,39.89,6.0,20.99,21.78,22.57,3.47,72.0,56.0,8.8,71.07,13.63,3.25,0.9
BATU KAWAN BERHAD,Plantation,2019-09-30,0,0,14.43,16.38,15.1,17.68,"7,140.9M",1899,10,15.68,5.85,8.29,2.23,12.15,4.7,0.1,30.36,91.66,138.45,32.12,76.64,107.9,17.11,12.56,12.85,2.99,15.0,53.5,22.48,37.83,13.18,3.24,1.58
CIMB GROUP HOLDINGS BERHAD,Financial Services,2018-12-31,0,0,5.765,5.15,4.82,5.89,"51,103.3M",1023,10,5.71,10.28,7.56,1.24,13.28,5.8,5.97,17.87,59.67,48.25,9.29,28.02,4.92,9.73,13.59,13.57,2.12,25.0,21.28,4.05,44.31,4.81,3.21,0.82
SIME DARBY BERHAD,Consumer Products & Services,2019-06-30,0,0,2.09,2.22,2.04,2.39,"15,099.2M",4197,10,2.26,6.17,5.85,2.44,10.22,4.08,28.7,126.35,13.9,41.63,18.92,6.96,2.4,16.21,37.42,22.11,15.35,10.0,23.8,10.29,59.87,14.23,3.19,0.81
SUNWAY BERHAD,Industrial Products & Services,2018-12-31,0,0,1.7,1.78,1.55,1.87,"8,782.4M",5211,10,1.47,9.24,14.26,7.2,15.01,6.28,13.95,73.58,13.53,32.55,23.1,15.74,8.28,10.83,6.12,7.51,3.47,7.12,8.46,10.15,29.44,26.33,3.18,3.38
EITA RESOURCES BERHAD,Industrial Products & Services,2019-09-30,0,0,1.33,1.45,1.28,1.6,188.5M,5208,10,1.36,11.78,11.26,2.91,14.2,4.3,3.49,23.33,16.02,12.83,2.58,7.67,1.13,8.49,7.56,7.64,4.51,6.0,5.62,3.89,42.57,24.59,3.12,1.8
MUDA HOLDINGS BERHAD,Industrial Products & Services,2018-12-31,0,0,3.45,1.37,1.27,2.21,417.9M,3883,10,1.79,14.2,11.49,5.38,5.3,2.31,32.21,86.23,25.42,12.82,6.11,3.82,1.47,7.04,15.05,11.95,7.29,4.5,3.02,4.95,17.74,28.59,3.07,5.6
DKSH HOLDINGS (MALAYSIA) BERHAD,Consumer Products & Services,2018-12-31,0,0,3.8246,2.56,2.27,2.87,403.6M,5908,10,2.3,12.3,13.33,5.58,15.94,9.52,21.19,53.51,28.3,37.4,26.3,1.23,0.81,8.13,10.84,9.26,4.37,10.0,9.04,5.3,27.6,13.93,3.07,0.87
METROD HOLDINGS BERHAD,Industrial Products & Services,2018-12-31,0,0,3.4946,1.4,1.4,1.8,168.0M,6149,10,1.54,4.92,9.4,6.05,5.27,3.63,51.0,182.67,7.58,21.01,15.9,1.19,1.07,20.31,19.72,15.72,9.57,6.0,6.0,2.68,47.36,33.39,3.02,1.04
KIMLUN CORPORATION BERHAD,Construction,2018-12-31,0,0,2.0709999999999997,1.05,1.05,1.49,356.8M,5171,9,1.08,17.06,13.05,2.87,14.95,4.14,2.78,22.57,18.81,19.83,3.63,5.48,2.32,5.86,9.09,8.09,1.99,3.7,4.56,1.22,22.77,3.42,3.0,0.82
MKH BERHAD,Property,2019-09-30,0,0,2.79,1.66,1.11,1.86,973.7M,6114,10,1.18,11.95,11.37,2.48,9.22,4.54,11.32,47.29,14.1,21.23,8.47,11.94,3.07,8.37,10.4,9.26,2.27,3.5,5.55,2.57,29.22,13.28,2.99,1.26
GAS MALAYSIA BERHAD,Utilities,2018-12-31,0,0,0.7674,2.79,2.57,2.96,"3,582.4M",5209,8,2.83,4.96,4.47,0.74,16.97,3.03,0.44,26.62,14.05,13.41,2.51,4.61,3.4,20.14,14.52,20.17,8.55,9.0,10.55,2.87,79.76,18.51,2.98,1.29
IOI PROPERTIES GROUP BERHAD,Property,2019-06-30,0,0,3.4,1.15,1.03,1.67,"6,332.1M",5249,6,1.38,8.7,10.22,2.22,5.9,1.77,-12.39,12.16,12.01,20.9,6.34,22.95,21.51,11.49,10.52,10.25,2.2,3.0,6.0,1.73,29.04,4.11,2.97,0.41
A-RANK BERHAD,Industrial Products & Services,2019-07-31,0,0,0.81,0.495,0.47,0.565,84.2M,7214,10,0.51,12.91,15.83,3.0,11.64,1.91,1.96,26.43,6.58,9.32,2.46,2.28,0.61,7.75,6.42,6.53,1.17,2.5,1.88,1.27,20.48,13.98,2.95,2.01
ROHAS TECNIC BERHAD,Industrial Products & Services,2018-12-31,0,0,0.7,0.595,0.49,0.79,281.2M,9741,10,0.68,5.01,25.96,47.26,57.86,133.13,52.51,147.75,3.26,50.23,66.38,5.64,3.79,19.95,125.48,33.4,72.52,1.5,7.35,8.91,32.97,32.94,2.92,3.22
CHEETAH HOLDINGS BERHAD,Consumer Products & Services,2019-06-30,0,0,1.09,0.29,0.26,0.37,37.0M,7209,10,0.285,0.96,9.95,7.32,5.23,4.46,-26.42,22.82,0.27,4.87,3.75,4.8,3.8,103.92,54.44,25.32,28.97,0.0,1.41,1.16,26.1,14.26,2.88,2.31
SHANGRI-LA HOTELS (MALAYSIA) BERHAD,Consumer Products & Services,2018-12-31,0,0,2.3798,4.69,4.62,5.9,"2,063.6M",5517,10,5.62,2.85,4.07,1.08,8.35,2.62,16.63,48.55,16.04,17.95,6.42,17.78,5.16,35.05,29.19,26.47,7.41,15.0,12.4,3.14,73.0,16.33,2.88,0.73
RHB BANK BERHAD,Financial Services,2018-12-31,0,0,6.44,5.75,5.21,6.07,"23,057.8M",1066,10,5.29,10.87,9.92,1.04,12.9,4.67,7.95,34.49,57.49,60.48,17.2,19.87,2.77,9.2,11.04,10.21,1.21,20.5,18.25,6.02,33.24,14.55,2.87,0.91
TA ANN HOLDINGS BERHAD,Plantation,2018-12-31,0,0,3.21,3.24,2.0,3.56,"1,441.3M",5012,10,2.7,6.51,8.01,2.01,10.27,3.35,5.45,44.07,17.59,29.11,9.9,11.92,3.42,15.35,15.61,13.35,3.81,10.0,11.1,6.25,37.34,14.46,2.85,1.37
SELANGOR DREDGING BERHAD,Property,2019-03-31,0,0,1.9965,0.57,0.56,0.755,242.9M,2224,10,0.66,8.68,13.41,4.61,6.55,2.12,13.33,39.69,5.73,11.3,4.54,17.46,8.9,11.52,8.58,8.33,2.72,2.0,2.34,0.45,23.29,6.91,2.84,0.26
MISC BERHAD,Transportation & Logistics,2018-12-31,0,0,7.95,8.17,6.38,9.41,"36,469.2M",3816,10,6.7,4.39,5.56,1.76,6.19,1.97,19.6,80.43,29.4,40.27,13.87,18.81,7.72,22.8,29.02,20.66,9.35,30.0,22.0,12.49,63.3,55.45,2.84,1.58
IMASPRO CORPORATION BERHAD,Industrial Products & Services,2019-06-30,0,0,1.62,2.15,1.85,2.33,172.0M,7222,10,2.22,0.32,7.27,3.6,6.32,2.56,-9.6,35.88,0.72,8.68,3.31,8.12,2.96,307.8,158.0,44.05,88.14,3.5,3.5,0.0,83.32,134.55,2.83,1.03
BINTULU PORT HOLDINGS BERHAD,Transportation & Logistics,2018-12-31,0,0,2.7959,4.64,3.55,5.06,"2,134.4M",5032,10,4.5,6.86,5.21,0.83,16.02,5.02,0.29,12.07,30.88,33.82,3.88,26.85,4.01,14.57,20.23,19.67,3.09,8.0,18.75,4.57,55.24,11.71,2.83,0.52
K.SENG SENG CORPORATION BERHAD,Industrial Products & Services,2018-12-31,0,0,0.83,0.385,0.3,0.595,37.0M,5192,9,0.3,3.31,11.21,9.59,6.77,5.17,42.75,184.22,0.99,4.97,3.82,4.56,3.89,30.19,15.1,12.45,8.65,0.0,1.49,1.32,29.0,23.13,2.83,3.17
HONG LEONG BANK BERHAD,Financial Services,2019-06-30,0,0,12.74,16.1,15.2,21.66,"34,900.3M",5819,10,19.0,6.85,7.63,1.01,12.91,2.37,7.4,14.02,130.23,106.83,19.58,49.48,4.3,14.59,13.84,13.34,1.81,50.0,39.7,8.56,37.03,3.99,2.82,0.39
TENAGA NASIONAL BHD,Utilities,2018-12-31,0,0,10.0904,12.74,11.24,14.28,"72,451.0M",5347,10,13.6,4.82,8.36,3.28,10.61,4.07,30.73,113.15,65.62,84.33,34.51,12.52,4.19,20.73,19.52,15.11,8.43,53.27,30.13,15.4,37.22,17.38,2.79,1.14
GAMUDA BERHAD,Construction,2019-07-31,0,0,3.35,3.98,2.64,4.3,"9,876.4M",5398,10,3.71,7.71,5.9,1.0,10.35,2.13,7.52,18.49,28.6,24.9,4.33,21.77,7.14,12.98,17.19,17.4,2.71,12.0,11.62,0.9,47.71,6.15,2.78,0.37
SHL CONSOLIDATED BHD,Property,2019-03-31,0,0,3.33,2.28,2.24,2.81,552.0M,6017,10,2.4,10.88,10.38,2.2,8.3,3.42,15.89,42.9,26.12,23.43,11.4,29.98,11.74,9.19,12.14,10.21,2.78,8.0,7.3,6.48,23.4,20.82,2.74,2.41
PETRONAS CHEMICALS GROUP BERHAD,Industrial Products & Services,2018-12-31,0,0,3.73,6.45,6.0,9.49,"51,600.0M",5183,10,9.29,6.7,5.82,0.73,13.83,2.28,9.57,20.92,62.0,40.3,9.53,23.16,1.95,14.93,10.46,15.64,5.57,32.0,18.9,7.89,45.52,15.24,2.66,0.96
MANULIFE HOLDINGS BERHAD,Financial Services,2018-12-31,0,0,4.18,2.44,2.33,2.85,493.8M,1058,10,2.5,5.19,6.95,1.73,6.6,3.03,-4.34,24.55,12.97,21.91,6.25,5.49,2.74,19.27,16.8,15.36,3.99,7.0,8.05,6.67,40.93,27.98,2.6,2.06
BIMB HOLDINGS BERHAD,Financial Services,2018-12-31,0,0,3.41,3.9,3.78,4.75,"6,991.4M",5258,10,3.56,11.34,9.61,2.45,14.05,2.22,14.4,23.79,40.36,28.81,8.86,18.59,1.74,8.82,8.78,10.11,4.3,15.5,9.69,6.98,29.24,18.32,2.56,1.69
TEO SENG CAPITAL BERHAD,Consumer Products & Services,2018-12-31,0,0,1.02,1.15,1.02,1.43,345.0M,7252,10,0.965,10.5,11.81,7.33,14.78,8.92,347.28,862.13,10.13,9.69,6.38,6.86,3.83,9.53,66.25,27.74,42.38,3.0,2.51,2.67,19.07,11.57,2.41,2.0
TUNE PROTECT GROUP BERHAD,Financial Services,2018-12-31,0,0,0.73,0.485,0.465,0.765,364.6M,5230,8,0.56,11.71,7.08,2.27,22.54,26.07,-17.46,30.16,6.56,16.94,19.45,16.88,16.35,8.54,10.69,11.52,7.51,3.0,2.64,2.14,32.73,28.5,2.4,2.07
IJM CORPORATION BERHAD,Construction,2019-03-31,0,0,2.65,2.2,1.76,2.51,"8,006.4M",3336,10,2.22,5.2,5.42,1.62,7.0,2.34,-0.44,39.85,11.56,26.14,13.17,12.23,3.37,19.21,19.36,19.85,5.02,4.0,11.45,5.5,44.65,6.83,2.37,0.64
HONG LEONG FINANCIAL GROUP BERHAD,Financial Services,2019-06-30,0,0,17.13,17.28,15.92,20.14,"19,829.1M",1082,10,18.54,9.05,9.62,1.17,13.34,3.94,11.09,31.86,167.8,141.26,25.91,51.05,4.41,11.05,10.48,10.55,1.26,42.0,34.6,6.34,24.8,3.65,2.36,0.21
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,Health Care,2018-12-31,0,0,2.34,2.2,2.11,2.98,307.1M,7178,10,2.75,7.98,9.85,2.14,8.2,1.54,8.08,30.13,22.05,15.44,4.11,9.61,1.71,12.53,12.73,10.74,2.84,7.0,4.25,3.54,25.14,21.9,2.34,2.13
BERJAYA FOOD BERHAD,Consumer Products & Services,2019-06-30,0,0,1.0423,1.22,1.22,1.81,466.2M,5196,9,1.66,4.45,5.31,5.41,15.27,14.6,35.75,180.18,7.22,10.58,15.81,10.76,12.95,22.47,284.02,81.49,172.75,4.0,3.75,1.47,217.52,422.66,2.32,1.09
KUALA LUMPUR KEPONG BERHAD,Plantation,2019-09-30,0,0,9.73,23.6,20.9,25.78,"25,193.1M",2445,10,23.08,2.51,4.51,1.38,12.65,4.96,0.69,36.84,58.0,99.0,28.53,9.17,3.82,39.8,27.05,24.42,7.8,15.0,49.0,20.1,48.35,14.56,2.28,1.04
PPB GROUP BERHAD,Consumer Products & Services,2018-12-31,0,0,14.98,18.68,17.68,19.96,"26,574.1M",4065,10,17.58,4.3,6.06,1.5,7.14,2.96,-3.17,20.28,75.57,96.33,27.35,39.08,21.57,23.26,17.06,17.37,3.58,28.0,36.0,22.65,34.79,10.16,2.24,1.31
AYER HOLDINGS BERHAD,Property,2018-12-31,0,0,6.91,4.9,3.8,4.98,366.8M,2305,9,4.6,5.85,4.31,2.79,4.47,2.8,31.52,73.48,26.92,26.62,19.84,30.26,14.63,17.09,23.82,23.61,14.45,5.0,13.56,11.88,50.78,24.86,2.2,1.74
ORIENTAL HOLDINGS BERHAD,Consumer Products & Services,2018-12-31,0,0,10.6738,6.38,6.01,6.88,"3,958.1M",4006,10,6.17,13.09,8.01,3.13,6.35,2.15,9.96,29.85,80.74,47.43,14.3,8.65,2.28,7.64,18.02,14.95,6.9,40.0,14.3,9.99,28.05,11.33,2.18,1.63
KECK SENG (MALAYSIA) BERHAD,Industrial Products & Services,2018-12-31,0,0,6.15,4.5,4.26,5.0,"1,626.6M",3476,10,4.08,2.75,8.86,8.2,6.38,4.52,11.25,62.1,11.23,34.5,22.6,11.8,8.15,36.32,38.06,21.66,19.03,4.0,9.55,1.88,43.18,39.68,2.15,0.69
AWC BERHAD,Industrial Products & Services,2019-06-30,0,0,0.698,0.55,0.515,0.81,164.3M,7579,10,0.735,9.31,10.9,3.94,11.19,3.75,10.25,39.12,7.08,4.95,2.35,8.43,2.23,10.74,9.79,10.13,2.84,1.5,1.0,0.95,23.13,28.11,2.14,2.59
DKLS INDUSTRIES BHD,Construction,2018-12-31,0,0,4.41,1.7,1.6,1.9,157.6M,7528,10,1.79,3.29,15.01,9.16,6.17,3.21,11.29,56.18,5.9,21.26,13.47,8.52,4.96,30.35,16.54,11.18,9.62,3.0,2.92,0.22,21.22,15.69,2.06,0.41
HARTALEGA HOLDINGS BERHAD,Health Care,2019-03-31,0,0,0.7,5.8,4.52,6.44,"19,601.0M",5168,10,4.63,2.96,5.45,2.97,31.35,18.58,-2.85,34.62,13.72,24.74,13.41,20.18,3.44,33.76,27.1,24.06,11.43,8.5,11.55,5.48,48.47,5.81,2.05,1.11
VITROX CORPORATION BERHAD,Technology,2018-12-31,0,0,0.9711,9.26,6.51,9.57,"4,361.8M",0097,10,6.29,3.57,9.15,6.45,27.54,15.86,109.51,297.73,22.43,13.82,6.17,25.72,6.15,28.05,19.52,16.35,9.68,4.75,3.21,1.39,29.32,20.5,2.05,1.3
SAMCHEM HOLDINGS BERHAD,Industrial Products & Services,2018-12-31,0,0,0.57,0.665,0.55,0.765,180.9M,5147,10,0.67,11.72,10.68,4.15,12.57,5.51,16.06,89.07,7.85,8.4,3.12,2.47,1.05,8.53,17.34,11.47,6.47,3.0,1.89,2.12,18.69,20.01,2.03,2.07
MELATI EHSAN HOLDINGS BERHAD,Construction,2019-08-31,0,0,1.78,0.47,0.36,0.515,56.4M,5129,10,0.435,4.84,9.51,8.31,5.35,4.18,29.68,97.1,2.1,8.0,7.08,6.49,7.8,20.68,21.94,16.86,10.68,1.0,1.62,0.57,30.9,13.52,2.03,0.38
MHC PLANTATIONS BHD,Plantation,2018-12-31,0,0,1.26,0.62,0.545,0.77,121.9M,5026,10,0.66,3.39,14.82,14.3,5.24,3.57,-0.91,64.57,2.24,11.03,8.83,37.82,38.97,29.47,23.43,15.47,12.59,2.0,1.58,1.35,19.28,26.12,2.01,1.89
TIME DOTCOM BERHAD,Telecommunications & Media,2018-12-31,0,0,4.58,9.25,7.75,9.5,"5,416.2M",5031,10,8.1,6.11,7.89,8.59,12.63,8.5,120.0,208.01,49.56,41.95,34.78,44.54,28.65,16.38,74.86,41.58,45.68,20.56,15.42,23.96,25.89,31.96,2.0,3.13
CAN-ONE BERHAD,Industrial Products & Services,2018-12-31,0,0,6.1122,3.05,2.55,3.99,586.1M,5105,10,1.98,12.24,18.11,10.68,14.95,9.92,34.23,134.61,24.24,40.07,26.53,8.61,5.06,8.17,6.72,6.81,2.53,4.0,3.9,0.7,12.52,5.02,1.98,0.73
CARING PHARMACY GROUP BERHAD,Consumer Products & Services,2019-05-31,0,0,0.67,2.56,1.8,2.57,557.3M,5245,6,1.92,4.96,4.15,1.42,11.1,2.64,11.48,40.36,9.52,6.8,2.01,2.3,2.0,20.17,34.6,28.0,12.11,5.0,3.25,1.35,46.61,8.13,1.96,0.78
ANALABS RESOURCES BERHAD,Industrial Products & Services,2019-04-30,0,0,2.49,1.15,0.92,1.24,138.1M,7083,10,1.12,3.2,10.88,4.48,6.25,3.38,-7.5,41.75,3.56,19.02,7.2,8.17,3.36,31.28,18.24,11.61,7.1,2.0,3.06,2.06,20.09,15.95,1.93,1.31
BOILERMECH HOLDINGS BERHAD,Industrial Products & Services,2019-03-31,0,0,0.4,0.6,0.51,0.79,309.6M,0168,9,0.555,9.28,6.82,2.09,23.33,8.55,1.01,24.23,5.15,6.9,2.38,10.92,3.91,10.78,12.27,14.3,6.77,2.0,1.61,0.99,24.99,14.98,1.79,1.26
GENTING PLANTATIONS BERHAD,Plantation,2018-12-31,0,0,5.4,10.48,9.17,11.14,"9,404.3M",2291,10,9.86,2.08,4.15,1.37,8.46,2.79,5.32,43.53,20.5,38.45,11.07,22.46,8.25,48.06,31.41,27.46,10.64,13.0,17.35,11.59,49.1,39.56,1.77,0.99
SAM ENGINEERING & EQUIPMENT (M) BERHAD,Industrial Products & Services,2019-03-31,0,0,4.04,7.78,7.36,8.68,"1,051.6M",9822,10,7.79,7.46,11.27,3.35,11.47,3.07,10.36,33.16,58.09,41.09,14.5,7.61,2.31,13.41,11.33,9.83,3.38,23.36,11.31,14.92,23.18,34.4,1.73,2.33
EASTERN & ORIENTAL BERHAD,Property,2019-03-31,0,0,1.36,0.555,0.55,1.1,808.6M,3417,10,0.905,5.08,5.17,1.9,6.08,2.82,25.61,97.23,4.7,7.76,3.35,18.43,8.16,19.69,34.14,23.7,12.83,3.0,2.26,1.67,35.9,26.45,1.72,1.38
7-ELEVEN MALAYSIA HOLDINGS BERHAD,Consumer Products & Services,2018-12-31,0,0,0.0792,1.39,1.27,1.56,"1,714.4M",5250,6,1.5,3.03,3.16,0.26,54.63,45.54,2.32,13.71,4.57,4.63,0.39,1.58,1.32,33.0,17.07,26.57,12.09,0.0,2.42,2.42,50.25,50.36,1.63,1.63
LAND & GENERAL BERHAD,Property,2019-03-31,0,0,0.3719,0.135,0.13,0.17,401.4M,3174,10,0.15,8.7,15.38,7.06,10.72,5.35,8.44,75.26,1.31,5.94,3.8,50.69,36.0,11.5,15.42,8.95,6.5,0.01,0.36,0.71,11.78,23.3,1.49,2.98
MASTER-PACK GROUP BERHAD,Industrial Products & Services,2018-12-31,0,0,1.88,2.67,0.61,2.91,145.8M,7029,10,0.575,18.32,13.88,5.42,6.07,2.28,23.4,89.76,10.54,7.04,2.52,4.6,1.83,5.46,11.15,8.63,3.98,1.5,0.8,0.71,10.68,9.66,1.48,1.33
PELANGI PUBLISHING GROUP BHD.,Telecommunications & Media,2019-09-30,0,0,1.0062,0.33,0.3,0.435,33.0M,7190,10,0.34,5.05,7.25,3.46,3.71,1.87,17.14,85.13,1.72,3.39,1.63,5.43,2.64,19.82,42.71,20.9,19.57,0.0,0.6,0.92,14.46,22.22,1.48,2.28
Y&G CORPORATION BHD,Property,2018-12-31,0,0,1.47,0.75,0.65,0.995,163.9M,7003,10,0.93,5.96,7.41,4.68,5.68,3.6,157.4,446.44,5.54,6.05,4.2,9.66,6.25,16.78,23.24,19.11,10.59,0.0,1.5,2.29,13.99,21.9,1.42,2.19
UMS HOLDINGS BERHAD,Industrial Products & Services,2019-09-30,0,0,3.99,1.98,1.75,2.6,80.6M,7137,10,1.99,3.75,10.76,5.01,6.93,3.02,-4.51,28.15,8.23,23.05,9.02,11.7,4.82,26.66,16.2,12.08,6.53,0.1,2.07,3.97,8.72,16.56,1.41,2.77
IVORY PROPERTIES GROUP BERHAD,Property,2019-03-31,0,0,0.83,0.165,0.155,0.235,80.9M,5175,9,0.2,0.48,9.78,6.55,6.63,6.48,-27.8,37.92,0.1,6.52,6.8,7.87,7.51,209.44,107.02,34.72,62.23,2.5,0.28,0.79,277.78,785.67,1.39,3.93
LEON FUAT BERHAD,Industrial Products & Services,2018-12-31,0,0,1.15,0.435,0.4,0.57,134.9M,5232,6,0.485,17.36,18.94,4.65,12.53,5.52,23.06,82.89,8.42,11.19,6.68,3.88,4.13,5.76,5.53,5.56,1.18,0.0,0.67,1.11,7.42,12.26,1.39,2.34
PANSAR BERHAD,Industrial Products & Services,2019-03-31,0,0,0.38,0.64,0.43,0.885,295.7M,8419,10,0.8,3.3,18.04,26.63,11.99,10.58,5.52,49.07,2.63,4.48,1.92,3.07,1.12,30.31,20.25,14.85,11.75,1.5,0.68,0.88,28.45,39.79,1.28,1.96
KESM INDUSTRIES BERHAD,Technology,2019-07-31,0,0,8.4451,10.56,6.66,12.0,454.2M,9334,10,7.68,1.9,7.9,3.43,6.27,3.95,17.28,62.81,14.59,42.1,32.25,7.13,3.46,52.64,30.0,17.07,12.56,9.0,6.85,4.98,21.24,15.25,1.26,0.26
AIRASIA GROUP BERHAD,Consumer Products & Services,2018-12-31,0,0,1.38,1.31,1.12,3.29,"4,378.0M",5099,10,2.97,19.95,12.8,6.9,18.44,9.32,70.2,176.36,59.2,30.96,18.45,14.43,7.11,5.01,47.3,17.17,24.95,12.0,3.5,6.09,10.87,19.68,1.19,2.17
SIG GASES BERHAD,Industrial Products & Services,2018-12-31,0,0,0.69,0.42,0.4,0.995,78.8M,5181,9,0.81,3.29,5.0,2.97,4.98,2.26,17.21,94.85,2.67,3.22,1.57,6.87,3.92,30.43,28.26,26.9,12.95,0.8,0.72,0.34,28.65,15.84,1.19,0.71
