name,category,Annual,nMerge,nSplit,NTA,current_price,52w low,52w high,market cap,code,nYear,price,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,EPS,EPS avg,EPS std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std
FRASER & NEAVE HOLDINGS BHD,Consumer Products & Services,2019-09-30,0,0,7.24,28.7,28.1,36.96,"10,526.5M",3689,10,34.9,3.21,5.03,2.97,19.48,7.01,-2.6,22.34,111.9,100.72,34.94,9.52,3.38,31.18,21.65,23.86,7.5,60.0,72.45,32.85,71.63,13.0,3.8,2.77
HAP SENG PLANTATIONS HOLDINGS BERHAD,Plantation,2019-12-31,0,0,2.07,1.45,1.4,2.14,"1,160.0M",5138,10,2.13,1.85,5.68,2.53,6.33,3.27,-5.18,37.18,3.93,15.05,7.7,23.49,9.55,54.16,31.44,22.88,13.9,2.5,10.0,4.79,67.28,5.69,3.78,1.59
TROPICANA CORPORATION BERHAD,Property,2019-12-31,0,0,3.21,0.85,0.775,0.94,"1,249.9M",5401,10,0.935,24.89,18.03,7.86,7.97,3.5,21.65,53.88,23.32,18.95,8.88,19.58,7.64,4.02,7.93,6.78,3.02,2.78,3.88,1.74,23.7,13.72,3.72,1.69
THONG GUAN INDUSTRIES BERHAD,Industrial Products & Services,2019-12-31,0,0,3.13,3.25,2.34,4.32,603.5M,7034,10,3.37,11.52,14.16,4.54,10.14,2.27,14.43,42.81,38.83,30.94,9.91,5.08,1.41,8.68,8.3,7.8,2.43,9.0,7.9,1.81,26.68,5.57,3.71,1.13
ASTRO MALAYSIA HOLDINGS BERHAD,Telecommunications & Media,2019-01-31,0,0,0.1595,0.98,0.91,1.61,"5,110.2M",6399,7,1.68,5.28,4.84,1.55,109.57,49.76,-6.01,29.83,8.88,12.61,4.38,8.98,5.01,18.92,23.38,22.68,6.74,9.0,9.43,4.09,86.59,36.11,3.7,1.66
INARI AMERTRON BERHAD,Technology,2019-06-30,0,0,0.359,1.28,1.15,2.09,"4,146.3M",0166,9,1.6,3.74,8.24,5.1,31.55,12.75,5.8,52.75,6.06,11.39,4.98,14.13,5.35,26.75,14.4,14.71,9.08,5.2,6.09,3.06,60.61,34.53,3.7,2.12
SUNWAY BERHAD,Industrial Products & Services,2019-12-31,0,0,1.7,1.45,1.4,1.87,"7,154.2M",5211,10,1.8,8.79,13.54,7.35,14.34,6.49,10.96,73.15,14.61,31.97,23.46,17.02,7.41,11.38,7.56,8.64,2.58,9.1,9.14,9.93,34.56,27.22,3.68,3.24
TELEKOM MALAYSIA BERHAD,Telecommunications & Media,2019-12-31,0,0,1.9527,3.36,2.6,4.68,"12,653.0M",4863,10,3.82,4.37,4.67,2.19,11.8,4.56,20.59,100.93,16.82,23.87,9.05,7.7,4.81,22.91,37.81,27.09,14.7,10.0,19.31,7.16,80.43,21.23,3.66,1.59
UMS-NEIKEN GROUP BERHAD,Industrial Products & Services,2019-12-31,0,0,1.27,0.85,0.715,1.0,68.0M,7227,10,0.82,6.25,12.36,5.26,8.68,2.9,15.1,43.73,5.13,8.36,3.24,10.09,4.14,15.99,10.31,9.49,3.49,3.0,2.46,0.68,32.13,10.44,3.66,1.18
ALLIANCE BANK MALAYSIA BERHAD,Financial Services,2019-03-31,0,0,3.82,1.87,1.84,4.22,"2,895.0M",2488,10,4.09,8.49,7.97,0.57,11.51,1.7,6.53,12.73,34.7,32.1,4.9,35.31,4.41,11.78,13.2,12.62,0.97,16.7,15.07,5.98,45.58,13.2,3.65,1.18
MALAYSIA BUILDING SOCIETY BERHAD,Financial Services,2019-12-31,0,0,1.3144,0.65,0.64,1.01,"4,363.7M",1171,10,0.83,13.18,12.19,4.63,18.67,13.14,4.85,39.01,10.97,20.88,13.31,20.3,9.01,7.59,15.86,10.38,6.17,0.0,6.98,9.51,32.31,30.31,3.63,4.11
NTPM HOLDINGS BERHAD,Consumer Products & Services,2019-04-30,0,0,0.4,0.47,0.385,0.575,527.9M,5066,10,0.455,1.75,6.29,2.26,14.03,6.56,-11.76,27.21,0.8,3.98,1.28,8.81,3.76,57.02,33.91,19.85,12.92,1.6,2.18,0.74,67.78,48.15,3.61,1.52
CHIN TECK PLANTATIONS BERHAD,Plantation,2019-08-31,0,0,7.47,5.85,5.85,7.15,534.5M,1929,10,6.3,5.58,5.82,2.52,6.83,3.0,11.7,59.85,35.14,47.01,20.01,34.07,11.38,17.93,24.66,20.73,9.1,20.0,29.7,11.38,67.49,21.68,3.6,1.22
CIMB GROUP HOLDINGS BERHAD,Financial Services,2019-12-31,0,0,5.6674,4.01,3.95,5.52,"39,791.1M",1023,10,5.15,8.99,7.84,1.22,11.34,3.46,1.59,18.62,46.98,48.97,8.88,27.61,4.99,11.12,13.59,13.07,2.04,26.0,22.03,4.16,45.19,5.83,3.57,0.76
KARYON INDUSTRIES BERHAD,Industrial Products & Services,2019-03-31,0,0,0.22,0.13,0.115,0.2,61.8M,0054,10,0.13,7.12,11.25,6.14,9.73,3.52,3.85,42.23,0.93,1.86,0.69,5.33,1.66,14.05,17.48,12.47,7.65,0.3,0.61,0.42,34.97,21.24,3.54,2.29
JOHORE TIN BERHAD,Consumer Products & Services,2019-12-31,0,0,1.1,1.21,1.1,1.9,375.7M,7167,10,1.73,9.04,12.86,4.45,11.56,3.61,13.62,43.8,15.65,16.24,6.17,7.01,1.89,11.06,9.28,8.68,2.77,6.4,4.34,1.58,29.89,14.74,3.5,1.24
PETRONAS DAGANGAN BHD,Consumer Products & Services,2019-12-31,0,0,6.02,19.0,18.06,26.6,"18,875.6M",5681,10,23.1,3.61,3.88,1.14,14.85,6.33,5.48,34.95,83.5,86.84,25.64,3.26,1.09,27.66,26.8,27.62,6.5,85.0,76.2,13.3,91.86,19.68,3.49,1.09
AMMB HOLDINGS BERHAD,Financial Services,2019-03-31,0,0,6.08,3.16,3.16,4.64,"9,524.8M",1015,10,4.56,10.97,8.78,1.28,11.01,2.55,5.4,17.95,50.03,48.13,8.68,18.31,2.41,9.12,11.82,11.64,1.75,20.0,19.01,4.58,39.07,3.36,3.45,0.65
AJINOMOTO (MALAYSIA) BERHAD,Consumer Products & Services,2019-03-31,0,0,7.91,13.6,13.36,18.48,826.9M,2658,10,18.0,5.17,9.08,3.97,14.14,8.56,36.07,111.91,93.06,81.2,78.44,12.75,10.83,19.34,14.63,12.92,5.1,47.0,24.38,13.55,43.49,15.66,3.41,1.46
SURIA CAPITAL HOLDINGS BERHAD,Transportation & Logistics,2019-12-31,0,0,3.2196,1.15,1.12,1.45,397.7M,6521,10,1.27,11.89,11.09,3.14,6.85,2.39,5.2,48.88,15.1,21.07,8.24,20.09,3.98,8.41,9.12,9.61,2.24,5.0,6.24,1.46,32.21,11.63,3.39,1.01
AFFIN BANK BERHAD,Financial Services,2019-12-31,0,0,4.7,1.55,1.5,2.29,"3,078.3M",5185,10,1.9,12.94,10.73,1.28,7.43,2.1,0.03,22.98,24.59,30.78,7.58,27.49,7.07,7.73,10.02,9.46,1.21,7.0,9.67,4.22,30.62,9.67,3.38,1.08
AEON CREDIT SERVICE (M) BERHAD,Financial Services,2019-02-28,0,0,6.04,12.36,12.32,17.36,"3,134.8M",5139,10,16.54,8.07,10.6,1.74,27.92,4.31,6.12,13.1,133.55,133.89,25.33,25.32,1.68,12.38,6.19,8.81,3.37,44.6,46.38,12.28,34.7,6.0,3.3,1.46
BATU KAWAN BERHAD,Plantation,2019-09-30,0,0,14.32,14.4,14.0,17.68,"6,388.8M",1899,10,15.68,5.85,8.29,2.23,12.15,4.7,0.1,30.36,91.66,138.45,32.12,76.64,107.9,17.11,12.56,12.85,2.99,15.0,53.5,22.48,37.83,13.18,3.24,1.58
PETRONAS GAS BERHAD,Utilities,2019-12-31,0,0,6.6939,14.58,14.0,18.5,"28,849.9M",6033,10,16.62,5.88,4.65,0.87,15.75,2.13,4.8,19.98,97.8,86.48,14.83,40.6,5.03,16.99,21.78,22.2,3.82,82.0,59.2,11.45,68.94,9.02,3.23,0.87
KHIND HOLDINGS BERHAD,Consumer Products & Services,2019-12-31,0,0,3.3,1.55,1.25,1.75,62.1M,7062,10,1.53,3.04,10.27,5.92,7.49,4.8,-0.01,42.24,4.65,19.02,11.63,2.59,1.61,32.93,28.02,18.29,16.33,0.0,6.0,3.95,27.07,15.47,3.22,2.11
SIME DARBY BERHAD,Consumer Products & Services,2019-06-30,0,0,2.14,1.71,1.63,2.39,"11,630.5M",4197,10,2.26,6.17,5.85,2.44,10.22,4.08,28.7,126.35,13.9,41.63,18.92,6.96,2.4,16.21,37.42,22.11,15.35,10.0,23.8,10.29,59.87,14.23,3.19,0.81
SIGNATURE INTERNATIONAL BERHAD,Consumer Products & Services,2019-06-30,0,0,0.76,0.275,0.275,0.565,66.1M,7246,10,0.44,2.25,8.96,4.75,15.05,13.72,6.85,108.01,1.0,8.92,6.11,9.25,6.48,44.51,24.72,15.43,10.64,0.0,3.45,3.95,36.67,25.97,3.19,3.37
APEX HEALTHCARE BERHAD,Health Care,2019-12-31,0,0,0.9,2.2,1.97,9.44,"1,039.2M",7090,10,2.24,5.0,8.13,2.33,13.51,1.85,-3.14,28.92,11.19,30.87,9.25,7.76,1.67,20.01,13.69,13.2,3.32,3.7,11.67,3.46,38.35,8.32,3.14,1.36
EITA RESOURCES BERHAD,Industrial Products & Services,2019-09-30,0,0,1.38,1.23,1.19,1.6,159.9M,5208,10,1.36,11.78,11.26,2.91,14.2,4.3,3.49,23.33,16.02,12.83,2.58,7.67,1.13,8.49,7.56,7.64,4.51,6.0,5.62,3.89,42.57,24.59,3.12,1.8
SUNWAY CONSTRUCTION GROUP BERHAD,Construction,2019-12-31,0,0,0.48,1.79,1.55,2.2,"2,314.3M",5263,5,1.91,5.25,6.11,1.46,24.66,2.3,0.64,7.46,10.02,10.25,0.6,3.4,3.41,19.04,17.71,17.3,4.03,7.0,5.5,2.76,53.22,26.72,3.11,1.74
METROD HOLDINGS BERHAD,Industrial Products & Services,2019-12-31,0,0,3.4695,1.4,1.35,1.8,168.0M,6149,10,1.4,3.29,8.1,5.83,4.31,3.27,52.16,182.06,4.6,15.79,11.16,0.98,1.07,30.43,19.72,18.15,9.91,6.0,5.4,1.8,58.29,40.21,3.11,1.1
TENAGA NASIONAL BHD,Utilities,2019-12-31,0,0,10.1957,11.82,11.12,14.28,"67,219.0M",5347,10,13.26,6.01,7.66,2.94,10.33,4.16,39.86,108.24,79.64,86.4,33.53,12.34,4.31,16.65,19.91,16.0,8.06,100.0,37.53,25.86,45.36,31.8,3.09,1.77
RIVERVIEW RUBBER ESTATES BERHAD,Plantation,2019-12-31,0,0,4.1,2.52,2.52,3.07,163.4M,2542,10,2.95,1.1,5.04,2.8,4.65,2.95,-5.88,44.58,3.26,17.07,8.53,39.34,21.7,90.54,50.44,29.73,22.62,0.03,10.42,9.62,45.55,41.67,3.06,2.93
GAS MALAYSIA BERHAD,Utilities,2019-12-31,0,0,0.8123,2.68,2.57,2.96,"3,441.1M",5209,9,2.75,5.38,4.58,0.76,17.11,2.89,0.99,25.15,14.81,13.57,2.41,4.88,3.11,18.57,14.52,19.99,8.08,9.6,10.44,2.72,78.1,18.07,3.04,1.23
MUDA HOLDINGS BERHAD,Industrial Products & Services,2019-12-31,0,0,3.47,1.2,1.15,1.93,366.1M,3883,10,1.41,9.15,10.79,5.18,4.92,2.23,27.9,89.07,12.9,12.82,6.11,3.52,1.35,10.93,15.05,12.42,7.05,4.0,3.17,4.96,18.9,28.87,3.04,5.6
DKSH HOLDINGS (MALAYSIA) BERHAD,Consumer Products & Services,2019-12-31,0,0,3.9344,2.39,2.1,2.99,376.8M,5908,10,2.62,9.46,12.4,5.37,15.25,9.94,16.82,54.28,24.79,38.53,25.48,1.23,0.82,10.57,10.84,9.79,4.18,10.0,9.75,4.91,29.42,14.28,3.03,0.84
AYS VENTURES BERHAD,Industrial Products & Services,2019-03-31,0,0,0.69,0.23,0.17,0.36,87.5M,5021,10,0.33,12.54,67.86,168.24,9.42,6.83,75.56,226.32,4.14,23.18,51.73,5.5,8.29,7.97,7.02,7.82,4.69,1.0,1.0,0.87,26.7,19.15,3.02,2.3
MKH BERHAD,Property,2019-09-30,0,0,2.84,1.13,1.1,1.86,662.8M,6114,10,1.18,11.95,11.37,2.48,9.22,4.54,11.32,47.29,14.1,21.23,8.47,11.94,3.07,8.37,10.4,9.26,2.27,3.5,5.55,2.57,29.22,13.28,2.99,1.26
MEGA FIRST CORPORATION BERHAD,Utilities,2019-12-31,0,0,3.78,4.56,3.28,5.6,"2,058.9M",3069,10,5.11,7.48,13.74,3.46,10.74,1.37,3.66,13.36,37.4,32.59,3.22,18.34,2.62,13.38,9.25,7.85,2.39,6.0,6.61,1.67,20.71,6.19,2.99,1.41
RHB BANK BERHAD,Financial Services,2019-12-31,0,0,6.43,5.19,4.95,6.07,"20,812.1M",1066,10,5.78,10.71,9.94,1.05,12.48,4.75,6.9,34.32,61.91,61.09,17.14,19.48,2.68,9.34,11.04,10.19,1.22,31.0,19.1,7.07,34.22,15.31,2.98,1.12
IOI PROPERTIES GROUP BERHAD,Property,2019-06-30,0,0,3.43,0.925,0.925,1.49,"5,093.2M",5249,6,1.38,8.7,10.22,2.22,5.9,1.77,-12.39,12.16,12.01,20.9,6.34,22.95,21.51,11.49,10.52,10.25,2.2,3.0,6.0,1.73,29.04,4.11,2.97,0.41
KIMLUN CORPORATION BERHAD,Construction,2019-12-31,0,0,2.1202,0.85,0.82,1.49,288.8M,5171,10,1.25,13.75,13.12,2.73,14.27,4.43,1.76,21.63,17.42,19.59,3.52,5.93,1.51,7.27,9.09,8.01,1.91,3.3,4.43,1.22,22.39,3.45,2.97,0.78
A-RANK BERHAD,Industrial Products & Services,2019-07-31,0,0,0.81,0.395,0.37,0.565,67.2M,7214,10,0.51,12.91,15.83,3.0,11.64,1.91,1.96,26.43,6.58,9.32,2.46,2.28,0.61,7.75,6.42,6.53,1.17,2.5,1.88,1.27,20.48,13.98,2.95,2.01
BIMB HOLDINGS BERHAD,Financial Services,2019-12-31,0,0,3.34,3.44,3.44,4.75,"6,166.8M",5258,10,4.4,10.14,9.56,2.44,14.32,1.94,8.15,13.4,44.75,32.01,8.22,18.93,1.0,9.86,11.99,11.1,2.7,16.0,11.29,6.38,32.81,15.54,2.92,1.47
CAHYA MATA SARAWAK BERHAD,Industrial Products & Services,2019-12-31,0,0,2.46,1.68,1.61,3.92,"1,805.0M",2852,10,2.27,6.58,7.97,3.96,9.09,2.27,4.72,37.99,14.94,23.49,8.29,14.33,2.37,15.19,15.57,15.24,5.99,3.0,9.67,4.77,41.87,20.56,2.92,1.84
PETRONAS CHEMICALS GROUP BERHAD,Industrial Products & Services,2019-12-31,0,0,3.74,4.38,4.16,9.39,"35,040.0M",5183,10,7.35,4.78,5.72,0.76,13.48,2.64,1.88,24.58,35.0,40.8,9.1,22.74,2.64,20.92,17.74,17.73,2.24,18.0,20.7,4.84,50.66,1.44,2.91,0.39
TA ANN HOLDINGS BERHAD,Plantation,2019-12-31,0,0,3.21,2.21,2.0,3.56,983.1M,5012,10,3.5,3.52,7.33,2.24,9.66,3.87,4.04,44.95,12.29,27.45,11.12,11.57,3.67,28.45,18.72,15.23,5.69,5.0,11.3,6.02,40.37,11.33,2.9,1.3
CHEETAH HOLDINGS BERHAD,Consumer Products & Services,2019-06-30,0,0,1.1,0.3,0.24,0.34,38.3M,7209,10,0.285,0.96,9.95,7.32,5.23,4.46,-26.42,22.82,0.27,4.87,3.75,4.8,3.8,103.92,54.44,25.32,28.97,0.0,1.41,1.16,26.1,14.26,2.88,2.31
S P SETIA BERHAD,Property,2019-12-31,0,0,3.02,0.92,0.875,2.31,"3,719.1M",8664,9,1.6,5.31,6.3,2.95,9.03,2.91,-18.21,21.7,5.27,18.89,10.67,14.88,6.17,18.82,9.99,12.48,7.19,1.0,11.89,7.33,58.56,15.74,2.85,2.05
SELANGOR DREDGING BERHAD,Property,2019-03-31,0,0,2.0089,0.47,0.47,0.755,200.3M,2224,10,0.66,8.68,13.41,4.61,6.55,2.12,13.33,39.69,5.73,11.3,4.54,17.46,8.9,11.52,8.58,8.33,2.72,2.0,2.34,0.45,23.29,6.91,2.84,0.26
IMASPRO CORPORATION BERHAD,Industrial Products & Services,2019-06-30,0,0,1.62,2.28,1.85,2.33,182.4M,7222,10,2.22,0.32,7.27,3.6,6.32,2.56,-9.6,35.88,0.72,8.68,3.31,8.12,2.96,307.8,158.0,44.05,88.14,3.5,3.5,0.0,83.32,134.55,2.83,1.03
DUTCH LADY MILK INDUSTRIES BERHAD,Consumer Products & Services,2019-12-31,0,0,2.26,40.3,39.66,64.5,"2,579.2M",3026,10,49.1,3.28,4.4,1.21,76.06,27.23,7.74,25.99,160.9,184.94,36.25,12.29,1.84,30.52,23.78,24.24,5.79,0.0,110.5,109.73,59.89,55.08,2.82,2.4
HONG LEONG BANK BERHAD,Financial Services,2019-06-30,0,0,12.73,13.3,13.0,21.28,"28,830.7M",5819,10,19.0,6.85,7.63,1.01,12.91,2.37,7.4,14.02,130.23,106.83,19.58,49.48,4.3,14.59,13.84,13.34,1.81,50.0,39.7,8.56,37.03,3.99,2.82,0.39
MISC BERHAD,Transportation & Logistics,2019-12-31,0,0,7.78,7.4,6.38,9.41,"33,032.1M",3816,10,8.35,3.83,5.5,1.8,5.96,2.06,25.57,77.13,32.0,39.88,14.04,19.47,7.16,26.13,29.02,21.0,9.48,33.0,21.8,12.29,63.86,55.83,2.81,1.56
GAMUDA BERHAD,Construction,2019-07-31,0,0,3.35,2.95,2.79,4.3,"7,413.9M",5398,10,3.71,7.71,5.9,1.0,10.35,2.13,7.52,18.49,28.6,24.9,4.33,21.77,7.14,12.98,17.19,17.4,2.71,12.0,11.62,0.9,47.71,6.15,2.78,0.37
PERAK TRANSIT BERHAD,Consumer Products & Services,2019-12-31,0,0,0.2324,0.16,0.14,0.27,227.6M,0186,5,0.235,11.89,11.69,2.71,14.0,2.36,-1.67,16.43,2.79,2.66,0.38,14.07,14.24,8.41,6.1,7.22,4.07,1.0,0.73,0.22,27.69,8.09,2.76,1.53
BREM HOLDING BERHAD,Construction,2019-03-31,0,0,1.7,0.68,0.67,0.8,234.9M,8761,10,0.765,5.42,11.11,6.22,5.58,2.87,69.8,238.05,4.1,12.53,7.66,28.14,15.01,18.46,32.51,15.33,15.91,0.02,3.4,2.79,22.42,20.56,2.75,2.34
LYSAGHT GALVANIZED STEEL BERHAD,Industrial Products & Services,2019-12-31,0,0,3.71,2.4,2.11,2.7,99.8M,9199,10,2.41,9.16,10.58,1.42,10.41,2.66,4.94,29.63,22.07,29.39,8.16,17.33,4.18,10.92,9.8,9.63,1.31,5.0,7.51,4.7,25.78,16.59,2.75,1.86
SHANGRI-LA HOTELS (MALAYSIA) BERHAD,Consumer Products & Services,2019-12-31,0,0,2.3999,4.79,4.62,5.9,"2,107.6M",5517,10,5.02,2.87,3.92,1.13,8.48,2.46,5.8,40.62,14.39,18.59,5.68,17.94,5.0,34.88,29.19,27.68,7.69,15.0,13.1,2.84,73.46,17.12,2.75,0.54
BINTULU PORT HOLDINGS BERHAD,Transportation & Logistics,2019-12-31,0,0,2.8915,4.0,3.55,5.06,"1,840.0M",5032,10,4.45,6.32,5.35,0.89,15.47,5.37,-1.44,12.03,28.11,33.41,4.23,25.73,4.69,15.83,20.23,19.23,3.29,12.0,17.7,4.79,52.52,11.14,2.75,0.47
SHL CONSOLIDATED BHD,Property,2019-03-31,0,0,3.29,2.0,2.0,2.81,484.2M,6017,10,2.4,10.88,10.38,2.2,8.3,3.42,15.89,42.9,26.12,23.43,11.4,29.98,11.74,9.19,12.14,10.21,2.78,8.0,7.3,6.48,23.4,20.82,2.74,2.41
TUNE PROTECT GROUP BERHAD,Financial Services,2019-12-31,0,0,0.74,0.3,0.295,0.765,225.5M,5230,9,0.565,11.93,7.77,2.7,21.04,24.94,-15.21,29.14,6.74,15.81,18.61,18.04,15.5,8.38,10.69,11.17,7.15,3.0,2.68,2.02,34.04,27.12,2.73,2.16
ORIENTAL HOLDINGS BERHAD,Consumer Products & Services,2019-12-31,0,0,10.7469,5.64,5.53,6.87,"3,499.0M",4006,10,6.55,8.63,7.59,2.69,5.72,1.24,7.74,31.85,56.51,48.72,14.48,8.34,2.31,11.59,18.02,15.33,6.59,40.0,17.3,12.45,32.84,16.89,2.62,2.0
TEO SENG CAPITAL BERHAD,Consumer Products & Services,2019-12-31,0,0,1.04,0.85,0.85,1.43,255.0M,7252,10,1.29,15.52,11.72,7.27,14.81,8.93,352.47,860.46,20.02,10.93,7.03,7.04,3.96,6.44,66.25,27.78,42.36,6.0,2.95,2.84,19.96,12.03,2.53,2.09
LB ALUMINIUM BERHAD,Industrial Products & Services,2019-04-30,0,0,1.2,0.405,0.38,0.615,100.6M,9326,10,0.53,9.24,10.31,3.67,5.3,1.72,11.94,50.19,4.91,5.41,1.85,3.19,1.12,10.82,14.66,11.16,4.75,1.5,1.62,0.65,33.09,13.5,2.53,1.39
YTL CORPORATION BERHAD,Utilities,2019-06-30,0,0,1.24,0.76,0.75,1.25,"8,377.3M",4677,10,1.12,2.16,8.7,8.78,10.75,11.52,-9.29,23.23,2.45,9.27,3.74,9.49,2.55,46.2,24.56,18.93,11.6,0.04,4.06,4.41,39.08,41.51,2.52,2.76
WCT HOLDINGS BERHAD,Construction,2019-12-31,0,0,2.3,0.425,0.42,1.22,602.7M,9679,10,0.87,7.24,8.8,3.51,8.03,5.15,7.24,62.54,6.36,15.49,9.08,9.56,5.59,13.81,18.81,13.65,6.71,0.71,4.91,3.36,29.74,18.17,2.51,1.22
IJM CORPORATION BERHAD,Construction,2019-03-31,0,0,2.64,1.55,1.49,2.51,"5,640.9M",3336,10,2.22,5.2,5.42,1.62,7.0,2.34,-0.44,39.85,11.56,26.14,13.17,12.23,3.37,19.21,19.36,19.85,5.02,4.0,11.45,5.5,44.65,6.83,2.37,0.64
HONG LEONG FINANCIAL GROUP BERHAD,Financial Services,2019-06-30,0,0,17.43,13.5,13.5,19.56,"15,491.5M",1082,10,18.54,9.05,9.62,1.17,13.34,3.94,11.09,31.86,167.8,141.26,25.91,51.05,4.41,11.05,10.48,10.55,1.26,42.0,34.6,6.34,24.8,3.65,2.36,0.21
ROHAS TECNIC BERHAD,Industrial Products & Services,2019-12-31,0,0,0.69,0.325,0.31,0.79,153.6M,9741,10,0.64,5.71,24.9,47.59,56.53,133.58,51.48,147.99,3.66,47.35,67.7,5.08,3.58,17.51,125.48,34.54,72.17,1.5,5.9,8.56,32.14,32.63,2.35,2.72
BERJAYA FOOD BERHAD,Consumer Products & Services,2019-06-30,0,0,1.0423,1.25,1.15,1.81,477.7M,5196,9,1.66,4.45,5.31,5.41,15.27,14.6,35.75,180.18,7.22,10.58,15.81,10.76,12.95,22.47,284.02,81.49,172.75,4.0,3.75,1.47,217.52,422.66,2.32,1.09
KPJ HEALTHCARE BERHAD,Health Care,2019-12-31,0,0,0.43,0.91,0.87,1.05,"4,042.1M",5878,10,0.945,5.24,4.33,0.88,14.72,8.16,-6.01,31.82,4.95,12.66,8.44,6.1,1.07,19.1,25.18,24.09,4.83,2.0,7.85,5.02,61.71,23.65,2.31,0.84
PRESS METAL ALUMINIUM HOLDINGS BERHAD,Industrial Products & Services,2019-12-31,0,0,0.88,3.79,3.6,5.24,"15,304.4M",8869,10,4.65,2.51,8.74,6.7,17.32,12.61,55.53,183.25,11.72,17.4,9.33,6.33,2.78,39.86,41.86,24.2,21.84,5.0,5.85,4.08,42.8,25.87,2.3,1.9
KUALA LUMPUR KEPONG BERHAD,Plantation,2019-09-30,0,0,9.59,18.7,17.54,25.78,"20,215.0M",2445,10,23.08,2.51,4.51,1.38,12.65,4.96,0.69,36.84,58.0,99.0,28.53,9.17,3.82,39.8,27.05,24.42,7.8,15.0,49.0,20.1,48.35,14.56,2.28,1.04
SAMCHEM HOLDINGS BERHAD,Industrial Products & Services,2019-12-31,0,0,0.57,0.455,0.45,0.765,123.8M,5147,10,0.665,13.16,10.79,4.2,12.39,5.38,15.24,89.07,8.75,8.29,3.08,2.29,0.87,7.6,17.34,11.41,6.5,4.0,2.01,2.2,20.41,21.47,2.28,2.37
UNIMECH GROUP BERHAD,Industrial Products & Services,2019-12-31,0,0,1.785,1.18,1.01,1.45,187.3M,7091,10,1.24,11.84,11.49,3.6,7.98,2.94,4.01,24.46,14.69,13.1,3.45,8.6,2.46,8.44,10.24,9.64,3.11,4.5,2.83,2.03,24.18,16.35,2.28,1.54
MANULIFE HOLDINGS BERHAD,Financial Services,2019-12-31,0,0,4.14,2.15,2.0,2.85,435.1M,1058,10,2.48,5.21,6.58,1.68,5.7,2.55,-5.26,24.21,12.91,20.28,6.25,4.68,2.46,19.2,16.8,16.15,3.89,7.0,6.5,4.62,38.66,25.8,2.2,1.52
AWC BERHAD,Industrial Products & Services,2019-06-30,0,0,0.688,0.325,0.29,0.795,97.1M,7579,10,0.735,9.31,10.9,3.94,11.19,3.75,10.25,39.12,7.08,4.95,2.35,8.43,2.23,10.74,9.79,10.13,2.84,1.5,1.0,0.95,23.13,28.11,2.14,2.59
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,Financial Services,2019-12-31,0,0,1.48,3.9,3.88,7.18,"3,224.5M",6139,10,5.7,7.75,11.54,7.95,23.39,4.46,11.35,32.59,44.16,46.54,23.18,8.2,2.35,12.91,12.0,11.94,5.33,0.2,12.16,16.15,17.1,19.56,2.14,2.15
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,Health Care,2019-12-31,0,0,2.35,1.65,1.64,2.9,230.5M,7178,10,2.33,7.08,9.34,2.14,8.11,1.58,6.98,31.1,16.54,15.65,4.11,9.44,1.81,14.13,12.73,11.33,2.87,8.5,4.5,3.73,26.13,22.81,2.12,1.86
AYER HOLDINGS BERHAD,Property,2019-12-31,0,0,6.99,5.7,3.8,6.21,426.7M,2305,9,4.44,4.01,4.43,2.75,4.46,2.8,28.41,75.56,17.79,27.05,19.6,27.36,13.5,24.96,23.82,22.55,13.96,4.5,12.94,12.18,44.97,24.69,2.08,1.78
HARTALEGA HOLDINGS BERHAD,Health Care,2019-03-31,0,0,0.73,6.06,4.52,6.69,"20,493.2M",5168,10,4.63,2.96,5.45,2.97,31.35,18.58,-2.85,34.62,13.72,24.74,13.41,20.18,3.44,33.76,27.1,24.06,11.43,8.5,11.55,5.48,48.47,5.81,2.05,1.11
MELATI EHSAN HOLDINGS BERHAD,Construction,2019-08-31,0,0,1.78,0.45,0.36,0.515,54.0M,5129,10,0.435,4.84,9.51,8.31,5.35,4.18,29.68,97.1,2.1,8.0,7.08,6.49,7.8,20.68,21.94,16.86,10.68,1.0,1.62,0.57,30.9,13.52,2.03,0.38
DKLS INDUSTRIES BHD,Construction,2019-12-31,0,0,4.32,1.64,1.53,1.9,152.0M,7528,10,1.72,3.66,14.14,9.76,5.66,3.5,16.04,53.51,6.29,20.19,14.17,8.32,5.11,27.36,16.54,13.11,10.67,3.0,2.92,0.22,24.22,17.49,2.02,0.41
CARING PHARMACY GROUP BERHAD,Consumer Products & Services,2019-05-31,0,0,0.67,2.58,1.86,2.59,561.7M,5245,6,1.92,4.96,4.15,1.42,11.1,2.64,11.48,40.36,9.52,6.8,2.01,2.3,2.0,20.17,34.6,28.0,12.11,5.0,3.25,1.35,46.61,8.13,1.96,0.78
PPB GROUP BERHAD,Consumer Products & Services,2019-12-31,0,0,15.07,16.1,15.6,19.96,"22,903.8M",4065,10,18.84,4.3,5.63,1.33,6.53,2.62,-4.12,19.54,81.02,90.8,24.1,33.71,17.11,23.25,17.06,18.53,3.42,31.0,31.8,19.0,33.26,8.18,1.95,1.06
